Gene.id	genename	Control_rep1	Control_rep2	si91_rep1	si91_rep2	Control_rep1.1	Control_rep2.1	si91_rep1.1	si91_rep2.1	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chromosome	strand	start	end	length	type
ENSG00000182985	CADM1	6981.53021794726	6901.67352086307	22343.1798543289	21643.9074300068	13.3273260635241	13.3157099707856	14.6568370417643	14.6170409465085	14467.5727557865	1.66380359837163	0.0638329757767629	26.0649543300362	9.1065348224794e-150	1.22959235183831e-146	chr11	-	115169235	115504415	335180	protein_coding
ENSG00000120885	CLU	1306.67464249284	1179.90464758734	6082.87312982595	6616.49407546994	12.0121090591586	11.955738180324	13.1904578975661	13.2733941633029	3796.48662384402	2.35319995426652	0.0911966366926279	25.8035826715608	8.08304234405277e-147	1.01344030189399e-143	chr8	-	27596916	27614700	17784	protein_coding
ENSG00000092969	TGFB2	14591.5601399696	14317.3934476376	4420.72482231216	4131.58964830477	14.1377112118965	14.1153688139688	12.8929065461803	12.8334249407078	9365.31701455602	-1.75686168914876	0.0702768346054824	-24.9991579588262	6.24365817016593e-138	7.30632879072817e-135	chr1	+	218345335	218444619	99284	protein_coding
ENSG00000136068	FLNB	23834.3934169086	26073.2023753502	7833.47278851563	7625.02465016167	14.7381727310621	14.8522084406167	13.445443018727	13.4174741392315	16341.523307734	-1.69087143397443	0.0692594479439958	-24.4135852099442	1.22687939998578e-131	1.3459633817469e-128	chr3	+	58008399	58172251	163852	protein_coding
ENSG00000106366	SERPINE1	32930.360783617	36163.8852816712	11538.2944872479	11070.2389632998	15.1538453535212	15.276715133325	13.8663347191402	13.8196781736035	22925.694878959	-1.6116899020637	0.0687884984872488	-23.4296421277819	2.13213614084587e-121	2.20149327530986e-118	chr7	+	101127103	101139247	12144	protein_coding
ENSG00000117399	CDC20	2791.53219078015	4045.11283904128	281.938681873181	272.908578706002	12.5136263691227	12.815083635729	11.385815166033	11.3767873019738	1847.87307260015	-3.62325344463443	0.154702929546011	-23.4207164354753	2.62896427351803e-121	2.56367832739233e-118	chr1	+	43358980	43363203	4223	protein_coding
ENSG00000044574	HSPA5	29540.5659879269	30627.557448285	11349.4139977577	11324.6800441987	15.012642138495	15.0594521770511	13.8476935472401	13.8452340011425	20710.554369542	-1.40797913186829	0.0616732229878675	-22.8296668092937	2.32723439763698e-115	2.14999712535379e-112	chr9	-	125234859	125241382	6523	protein_coding
ENSG00000138180	CEP55	2091.75932438729	2749.90806302521	205.465117835684	227.765806288468	12.3052065057516	12.5022179165839	11.3038010919213	11.3291427995743	1318.72457788416	-3.4841688430081	0.153061448560945	-22.763203117216	1.06198008222769e-114	9.32046819167132e-112	chr10	+	93496611	93529092	32481	protein_coding
ENSG00000030582	GRN	11802.1877419869	10791.1311865256	32281.9790744792	33521.5864363203	13.8919706862	13.7910969626817	15.1278896796886	15.1771107746255	22099.221109828	1.54240131039663	0.0679050388081593	22.7140921714826	3.25113180992056e-114	2.71748174569217e-111	chr17	+	44345301	44353106	7805	protein_coding
ENSG00000169710	FASN	65004.3637230217	60722.8126369907	23783.2784156615	23972.8640979114	16.0653189212399	15.972231626573	14.7354600037732	14.7454957710234	43370.8297183963	-1.39651979303484	0.0622124450975026	-22.4475953460139	1.35084087957025e-111	1.07778681632257e-108	chr17	-	82078337	82098236	19899	protein_coding
ENSG00000266074	BAHCC1	3155.45727716038	3167.87102857936	9517.73393382339	9866.7736895324	12.6090055794473	12.6121301621432	13.6527056191088	13.6920286514644	6426.95898227388	1.61606935640082	0.0723040705567812	22.3510148731074	1.18030444482568e-110	9.00777561740221e-108	chr17	+	81395474	81466331	70857	protein_coding
ENSG00000072840	EVC	7794.69220620933	7227.39638367423	21183.1772383866	22056.348214367	13.4402826868645	13.362478315059	14.590200989951	14.6406471527735	14565.4035106593	1.52542102374186	0.0685378513539021	22.2566216128545	9.73101148374241e-110	7.11701852392211e-107	chr4	+	5711200	5814305	103105	protein_coding
ENSG00000120437	ACAT2	4561.48238833863	4502.47001514191	1170.13766659784	1159.34847345031	12.9208974632022	12.9092360876296	11.95125422051	11.9462761151124	2848.35963588217	-1.96001865200239	0.0883330176775342	-22.1889696914643	4.38934332701516e-109	3.08184573676389e-106	chr6	+	159762044	159779112	17068	protein_coding
ENSG00000162496	DHRS3	9681.27121483328	9958.08775862799	2879.27575442382	3154.8642087254	13.671268570734	13.7021350582457	12.5373236361425	12.6088561016843	6418.37473415262	-1.70295764757465	0.0771263213231783	-22.0801098556074	4.90892579432603e-108	3.3140913256848e-105	chr1	-	12567909	12618210	50301	protein_coding
ENSG00000152332	UHMK1	8541.98051414738	9015.50920872312	2696.84484262353	2454.12526415322	13.5364560319541	13.5940930189266	12.4875133984676	12.4178056863987	5677.11495741181	-1.76883338757605	0.0804737729026964	-21.9802467782244	4.45036438627121e-107	2.89323133600809e-104	chr1	+	162497250	162529629	32379	protein_coding
ENSG00000122966	CIT	3813.11418400182	5125.09070865705	631.137245369702	639.180618548267	12.7645272795477	13.027298158773	11.660245985603	11.6654380417795	2552.13068914421	-2.81527345230798	0.128098992625509	-21.9773270234707	4.74594678208588e-107	2.97520013806977e-104	chr12	-	119685790	119877320	191530	protein_coding
ENSG00000126787	DLGAP5	1787.22853993855	2431.87187544263	145.576182143669	176.467201268542	12.2009260337221	12.4112011006394	11.2277293572315	11.2686310789795	1135.28594969835	-3.71486401955294	0.170211890448251	-21.8249383739873	1.34518847278104e-105	8.1421011250778e-103	chr14	-	55148134	55191585	43451	protein_coding
ENSG00000089685	BIRC5	3020.47022731608	4349.69734497384	400.795185015796	390.895370251829	12.5745006075142	12.878548010905	11.4929022564802	11.4846812770235	2040.46453188939	-3.21893044630864	0.147634928442132	-21.8033122667876	2.1582031526241e-105	1.26276466460036e-102	chr17	+	78214185	78225636	11451	protein_coding
ENSG00000139211	AMIGO2	7291.46048438977	7916.31465103589	2271.17271508951	2253.03473247511	13.371490385327	13.4564016338354	12.3623482667018	12.3567009381359	4932.99564574757	-1.74918806539217	0.0803316982305977	-21.774568494382	4.04259186251407e-105	2.28901983750675e-102	chr12	-	47075706	47079865	4159	protein_coding
ENSG00000160752	FDPS	7706.14070151147	7482.01750062101	2428.72668437158	2323.82680740261	13.4284261188408	13.3979493358092	12.4102645912774	12.3785855758246	4985.17792347667	-1.67587671431313	0.0771068029286171	-21.7344858126798	9.68618474663661e-105	5.31317502680351e-102	chr1	+	155308747	155320666	11919	protein_coding
ENSG00000167900	TK1	3074.4650472538	3946.14689547329	538.079052986724	527.34965960483	12.5884204478319	12.7937636364774	11.5973784661587	11.5897660764104	2021.51016382966	-2.72043122928039	0.126780526526128	-21.4578003722025	3.86144440687899e-102	2.053937384059e-99	chr17	-	78174120	78187233	13113	protein_coding
ENSG00000111206	FOXM1	4851.97451960356	6297.30868101581	1031.9324303855	947.998220768216	12.9768207555604	13.224403314234	11.8853817532859	11.8429203952419	3282.30346294327	-2.49328981330493	0.117281919842924	-21.2589444020375	2.72476209819509e-100	1.40669850322407e-97	chr12	-	2857679	2877174	19495	protein_coding
ENSG00000131236	CAP1	18370.1176392113	19203.236389805	7236.42616807831	7155.12942817916	14.4143664036759	14.4687402234126	13.3637521790002	13.3522401354075	12991.2274063184	-1.38450947365198	0.0652655018110033	-21.2134961845733	7.16824044679293e-100	3.59497498750161e-97	chr1	+	40040232	40072649	32417	protein_coding
ENSG00000137804	NUSAP1	1964.33154933427	2674.00214514297	242.319847492309	232.89566679046	12.2627718661391	12.4811266998796	11.3449969141516	11.3347889481512	1278.38730219	-3.28705943944587	0.156456455237969	-21.0094203811934	5.37872634395492e-98	2.62257731987335e-95	chr15	+	41320793	41381021	60228	protein_coding
ENSG00000164161	HHIP	3260.20722783956	3864.4759711696	676.284289199068	710.998665576162	12.6351242287104	12.7758952780149	11.6889428015024	11.7103081188465	2127.9915384461	-2.36134278089048	0.112583905409909	-20.974070603547	1.13155916860665e-97	5.3681778612304e-95	chr4	+	144646155	144745271	99116	protein_coding
ENSG00000075624	ACTB	250127.763672294	268809.758584338	108344.612876305	106339.956262104	17.9529319723771	18.0554329492734	16.7722382858908	16.7461585916821	183405.52284876	-1.27334531259059	0.0611455803304768	-20.8248135958229	2.57927653231864e-96	1.19142213083655e-93	chr7	-	5527151	5563902	36751	protein_coding
ENSG00000171617	ENC1	10630.5001493384	11312.8642676656	3916.73639425782	3820.72010188402	13.774378919499	13.8440575124318	12.7873580999071	12.7662171875077	7420.20522828645	-1.50385996036876	0.0725986337077961	-20.714714362555	2.55214860817049e-95	1.14866319280042e-92	chr5	-	74627405	74641424	14019	protein_coding
ENSG00000108797	CNTNAP1	2602.55032099813	2796.02811439671	7988.26265307346	8205.72485898722	12.4609228152127	12.5148521045825	13.4658485568348	13.4940125218618	5398.14148686388	1.58438399075829	0.0775627659056767	20.4271208260552	9.59981522254011e-93	4.21263891503116e-90	chr17	+	42682530	42699993	17463	protein_coding
ENSG00000106484	MEST	13755.7203273337	15291.6795328603	5121.88605402945	4862.0817837885	14.068462944811	14.1932137265439	13.0267170059314	12.9787239173283	9757.84192450299	-1.54070050669685	0.0761391993685146	-20.2353126835474	4.78581205382838e-91	2.04891119465487e-88	chr7	+	130486335	130506465	20130	protein_coding
ENSG00000117394	SLC2A1	22568.7548375684	23327.1376499392	9564.72371413559	9420.47582585905	14.6694417250015	14.7110215065206	13.6580648560043	13.6415469909173	16220.2730068756	-1.27349158548594	0.0629838071703328	-20.219349110509	6.6150118534243e-91	2.76460245388468e-88	chr1	-	42925352	42958868	33516	protein_coding
ENSG00000138160	KIF11	3113.34131760896	4173.86464912003	567.562836712024	469.895221982514	12.5983447792355	12.842296164913	11.6178880622225	11.5475216224759	2081.16600635588	-2.81136901318586	0.139765640426752	-20.1148794839833	5.46717723048983e-90	2.23175260294856e-87	chr10	+	92593129	92655395	62266	protein_coding
ENSG00000156466	GDF6	22211.3091295807	23690.3330544897	9083.76949211663	9249.1384850925	14.6494165277092	14.730514070561	13.6022066491064	13.6216678511459	16058.6375403199	-1.32420396245909	0.0658463756920738	-20.1105064408046	5.97110783675812e-90	2.38206490587762e-87	chr8	-	96142332	96160806	18474	protein_coding
ENSG00000136859	ANGPTL2	710.571830380401	679.309923325935	2912.44501111479	3046.11116608315	11.710048908144	11.690828328662	12.5461610000154	12.5811307695838	1837.10948272607	2.10035727070366	0.104481976166677	20.1025798684456	7.00553638489069e-90	2.73262622586636e-87	chr9	-	127087347	127122635	35288	protein_coding
ENSG00000102144	PGK1	13453.3493356824	13664.9868876117	5389.08284403998	5126.78258569132	14.0425509607267	14.0607373143913	13.0743118592712	13.0276048710436	9408.55041325635	-1.36656818897258	0.0684054487405757	-19.9774756855294	8.64878615382973e-89	3.27268464032402e-86	chrX	+	78065215	78122903	57688	protein_coding
ENSG00000145012	LPP	7847.60712974829	7174.55049147773	2462.81730930396	2445.91748735003	13.4473189755914	13.354999134537	12.4203752073887	12.4153740825067	4982.72310447	-1.61346585517987	0.0807668981653549	-19.9768208490143	8.76295665101287e-89	3.27268464032402e-86	chr3	+	188212932	188890671	677739	protein_coding
ENSG00000112972	HMGCS1	6476.13870333019	5655.47129942921	1736.77913506845	1669.25660734836	13.252070630572	13.1201150244125	12.1826396097177	12.1576616867407	3884.41143629405	-1.8321506758696	0.0918809824125727	-19.9404776457733	1.8132510857031e-88	6.63083256403053e-86	chr5	-	43287469	43313412	25943	protein_coding
ENSG00000099194	SCD	125506.639359636	103365.604301953	37685.8038103818	36304.022772601	16.9780846404905	16.7065730932077	15.3310993528863	15.2818097362444	75715.517561143	-1.62910935460268	0.0820318815495746	-19.8594659031215	9.12760605932819e-88	3.26973202366097e-85	chr10	+	100347232	100364826	17594	protein_coding
ENSG00000167552	TUBA1A	16921.9765684816	19247.4347723693	6433.9144298053	6305.6245290492	14.3146060841287	14.4715676620462	13.2455891107256	13.2257025832068	12227.2375749264	-1.50552602051796	0.076364032861756	-19.7151193316814	1.5993851334882e-86	5.61480144962369e-84	chr12	-	49184770	49189078	4308	protein_coding
ENSG00000092820	EZR	12749.2568836946	15162.9277227816	4352.54357244741	4320.36851477809	13.9803002718492	14.1831688135784	12.8791264816495	12.8725719692768	9146.27417342541	-1.68644280430004	0.0856898253856748	-19.6807823648801	3.15100500622215e-86	1.0845017818474e-83	chr6	-	158765747	158819368	53621	protein_coding
ENSG00000137807	KIF23	2253.74378420045	3013.17668960415	379.603715463237	363.19412354107	12.3569222315785	12.5726080107546	11.4751697338183	11.4610783836418	1502.42957820223	-2.82604490280097	0.143828555628683	-19.6487052967205	5.93063712099311e-86	2.00193218047677e-83	chr15	+	69414245	69448427	34182	protein_coding
ENSG00000102317	RBM3	7295.78006998479	7610.76931069976	2664.59695417398	2558.77441839387	13.3720958907688	13.4155403356165	12.4784869863909	12.4483707495983	5032.4801883131	-1.51278551620296	0.0772067655827289	-19.5939501517128	1.74140364816512e-85	5.76733174268725e-83	chrX	+	48574483	48581162	6679	protein_coding
ENSG00000145386	CCNA2	1837.98367068	2757.5947382538	223.892482663997	219.55802948528	12.2190138117398	12.5043329593004	11.3248360981484	11.3199709228561	1259.75723027077	-3.37380190337592	0.17272929349337	-19.532308823491	5.83411981625013e-85	1.89641305804886e-82	chr4	-	121816443	121823883	7440	protein_coding
ENSG00000116133	DHCR24	27309.5000281003	28352.3015806247	12083.7444861659	11560.6536272903	14.9114931413227	14.9596597992474	13.9188155515789	13.868525076526	19826.5499305453	-1.23514749894645	0.0636402137879597	-19.4082864501649	6.56811914590754e-84	2.09618537032936e-81	chr1	-	54849626	54887195	37569	protein_coding
ENSG00000070404	FSTL3	4313.10621662511	4580.2976018313	1325.84889939708	1347.10136782323	12.8710878994402	12.924593523886	12.020357176542	12.0294191746286	2891.58852141918	-1.73457325497631	0.0895207112936795	-19.3762228864102	1.22516062277108e-83	3.84022221633942e-81	chr19	+	676391	683385	6994	protein_coding
ENSG00000076382	SPAG5	1961.09186013801	2876.73820429682	270.882262976193	248.285248296438	12.2616714819431	12.5366448616848	11.3747403097861	11.3513528168539	1339.24939392686	-3.21982008851775	0.166237432302372	-19.3688030663345	1.41509053292966e-83	4.35773405693233e-81	chr17	-	28577573	28599025	21452	protein_coding
ENSG00000161888	SPC24	1653.321386493	2224.33164427092	231.263428595322	222.635945786475	12.151679690091	12.3477063606034	11.3329994522661	11.3234307376634	1082.88810128643	-3.09491734382876	0.160459690005234	-19.2878182908605	6.79821607552574e-83	2.05739804782247e-80	chr19	-	11145493	11155808	10315	protein_coding
ENSG00000138778	CENPE	1882.25942302894	2521.2294749749	301.287414942909	284.194271810385	12.234548792464	12.437496962167	11.4046668288718	11.3880466969767	1247.24264618928	-2.91093529811948	0.152240895099416	-19.1205871209479	1.70181077138601e-81	5.0630312661252e-79	chr4	-	103105348	103198445	93097	protein_coding
ENSG00000172380	GNG12	14929.5677127797	15466.5513943106	6275.43909228181	5884.97596788581	14.1647789342447	14.2067437040446	13.2209803968364	13.1583479953829	10639.1335418145	-1.32156946135142	0.0692822333289428	-19.07515675883	4.06202668199375e-81	1.18834590581727e-78	chr1	-	67701474	67833467	131993	protein_coding
ENSG00000106799	TGFBR1	2801.25125836894	2836.38315934676	721.431333028433	715.102553977756	12.5162745224635	12.5257981633818	11.716617549837	11.7127960353637	1768.54207618047	-1.97245662749104	0.103449541491469	-19.0668474606405	4.76159175553959e-81	1.37016754237683e-78	chr9	+	99105112	99154192	49080	protein_coding
ENSG00000277443	MARCKS	24117.3262733822	26578.6012716294	10264.04220937	9898.57882464475	14.7530959180979	14.8767412879664	13.7354719577618	13.6955571068624	17714.6371447566	-1.33020037110024	0.0700553261994389	-18.9878549321621	2.14930473416209e-80	6.084959032056e-78	chr6	+	113857344	113863475	6131	protein_coding
ENSG00000113657	DPYSL3	27123.7578475145	25599.5110143888	11388.1114638971	11335.9657373031	14.9027412823777	14.8288267719178	13.8515329782648	13.8463567873251	18861.8365157759	-1.21416192523384	0.0639678864848296	-18.9808041496226	2.45804951846491e-80	6.84859415835151e-78	chr5	-	147390807	147510068	119261	protein_coding
ENSG00000156970	BUB1B	1775.34967955225	2628.84292817505	237.713006285231	230.843722589663	12.1966483745586	12.4683977668734	11.3400330267015	11.3325382582541	1218.18733415055	-3.23290409695116	0.170914153213097	-18.915367956218	8.52235963244073e-80	2.33739029106613e-77	chr15	+	40161068	40221123	60055	protein_coding
ENSG00000134057	CCNB1	1727.83423800706	2411.69435296761	251.533529906465	210.324280581693	12.1793643561328	12.4051798342282	11.3547805844615	11.309438989768	1150.3466003657	-3.16264028923745	0.167669300402149	-18.8623694477878	2.32560524327621e-79	6.28020751311189e-77	chr5	+	69167149	69178245	11096	protein_coding
ENSG00000024526	DEPDC1	1154.40925026846	1619.00597002009	97.6650335900561	114.908875244632	11.9439883711867	12.1386807909948	11.1542613701455	11.182459008316	746.497282280809	-3.70887569950331	0.196806054150412	-18.8453333690067	3.20936980391359e-79	8.53546487395383e-77	chr1	-	68474151	68497221	23070	protein_coding
ENSG00000169679	BUB1	1599.32656655528	2382.86932086042	197.172803662943	194.934699075715	12.1311524401536	12.3965231594138	11.2940192901576	11.291343139813	1093.57584753859	-3.3447719625623	0.177658704279036	-18.8269523642867	4.54156759758465e-79	1.18982292597617e-76	chr2	-	110637527	110678063	40536	protein_coding
ENSG00000172893	DHCR7	8324.92133799774	7806.7795290286	2990.76131163511	2826.55313659787	13.5092082719453	13.441893172627	12.566772838501	12.5231410638873	5487.25382881483	-1.47111312417185	0.0783251365141441	-18.7821329096081	1.05745664834985e-78	2.72963772771837e-76	chr11	-	71434410	71448393	13983	protein_coding
ENSG00000142949	PTPRF	11659.6414173514	13054.857041343	4575.51468686999	4559.42001417095	13.8781812478246	14.0076577515299	12.9236549679334	12.9204916877775	8462.35828993381	-1.43602290154581	0.0768054305491628	-18.6968928014356	5.2474796030672e-78	1.33491318076288e-75	chr1	+	43530882	43623666	92784	protein_coding
ENSG00000186193	SAPCD2	1493.49671947735	2216.64496904234	182.430911800294	176.467201268542	12.0896998220176	12.3452854545375	11.2760932164827	11.2686310789795	1017.25995039713	-3.37012186166999	0.180901053380253	-18.6296419987451	1.84755933262995e-77	4.63288699509337e-75	chr9	-	137062126	137070557	8431	protein_coding
ENSG00000111669	TPI1	27041.6857212092	30281.6570629988	11534.6090142822	10997.3949441715	14.8988570860697	15.0447214240872	13.8659733520169	13.8122749797119	19963.8366856654	-1.3471522338209	0.0723665793601095	-18.6156682509093	2.39849119710988e-77	5.92967830744645e-75	chr12	+	6867118	6870948	3830	protein_coding
ENSG00000164741	DLC1	10388.6033560174	11335.9242933513	4183.93318426835	4062.84951757807	13.7488188322517	13.8463526658141	12.844399950259	12.8188670908149	7492.82758780379	-1.39745539787564	0.0751993202401998	-18.583351463975	4.38260753064362e-77	1.06844319424149e-74	chr8	-	13083360	13514851	431491	protein_coding
ENSG00000113161	HMGCR	6037.7007654359	5669.8838154828	2038.98791825278	2037.58059139143	13.183196066613	13.1225485939155	12.2878298024522	12.287362655164	3946.03827264073	-1.5218633805154	0.0821644231512958	-18.5221695978206	1.36810986897605e-76	3.28964829179952e-74	chr5	+	75337269	75364001	26732	protein_coding
ENSG00000067064	IDI1	3175.97530873672	2965.13496942551	826.467312549814	745.881716989711	12.614165729709	12.5600670553748	11.7775420556026	11.7312121679118	1928.36482692544	-1.96454920661656	0.106290696272702	-18.4827955362742	2.84073779459615e-76	6.73830682547922e-74	chr10	-	1039418	1049119	9701	protein_coding
ENSG00000206503	HLA-A	16224.3634948862	15653.9141030073	34469.3072795999	35388.8556590455	14.263927765314	14.2210981258159	15.2136356805222	15.2482084861735	25434.1101341347	1.1318920558606	0.0612666685765647	18.4748425556399	3.29186210565086e-76	7.70427407206526e-74	chr6	+	29941259	29945884	4625	protein_coding
ENSG00000118193	KIF14	1345.55091284799	1913.98213191692	166.767651696228	144.662066156189	12.0287608719677	12.2455442493895	11.2562132224898	11.2264545336169	892.740690654333	-3.38656520242401	0.183458680711394	-18.4595527957139	4.36944312231023e-76	1.00916888323568e-73	chr1	-	200551499	200620751	69252	protein_coding
ENSG00000149485	FADS1	11614.2857686037	11419.5168864621	4857.45336874317	4742.04304804188	13.8737651012179	13.8546411968484	12.97785274782	12.9559395643229	8158.32476796272	-1.26261127353391	0.0684343972408144	-18.4499509667761	5.21924219813459e-76	1.18978387407606e-73	chr11	-	61802006	61806528	4522	protein_coding
ENSG00000166598	HSP90B1	37375.2143608901	37096.8554875403	17567.7282590717	17020.8771456112	15.3201666639713	15.31029730797	14.3599578210818	14.3216465414015	27265.1688132783	-1.10635812846344	0.0600853942177349	-18.4130959423229	1.03153639491005e-75	2.32135363331488e-73	chr12	+	103930375	103947922	17547	protein_coding
ENSG00000067955	CBFB	2639.26679855578	2820.04897448602	685.497971613224	707.920749274967	12.4713481541527	12.5213797038988	11.694670472233	11.7084370431039	1713.1836234825	-1.9705893642968	0.107059419543845	-18.4065014801408	1.16510146591089e-75	2.58873747229543e-73	chr16	+	67028996	67101040	72044	protein_coding
ENSG00000114450	GNB4	1720.27496321577	2027.3605915385	324.3216209783	274.960522906799	12.1765885666329	12.2839643165665	11.4263060059549	11.3788521740121	1086.72942465984	-2.6432784929229	0.143943989095474	-18.3632432971528	2.58685681876724e-75	5.67588721747767e-73	chr3	-	179396087	179451470	55383	protein_coding
ENSG00000160712	IL6R	286.172545669918	253.660282543206	1584.75337523487	1596.41258822007	11.389996316536	11.3570124733716	12.125542138598	12.1300330552048	930.249697917017	2.56069105361711	0.14010703367889	18.2766773828495	1.26926762874534e-74	2.75054996140333e-72	chr1	+	154405342	154469450	64108	protein_coding
ENSG00000198830	HMGN2	12918.800618299	16035.3653612256	4518.38985590222	4448.61502732791	13.9955435232544	14.2498805048322	12.9123923669964	12.898501198653	9480.29271568869	-1.69119902051899	0.0927099751661136	-18.2418236817427	2.40305313047441e-74	5.1439989755143e-72	chr1	+	26472439	26476642	4203	protein_coding
ENSG00000090889	KIF4A	1421.1436607608	2067.71563648856	186.116384765956	157.999703461369	12.0603593819381	12.2973229689061	11.2806423408932	11.244666206587	958.243846369172	-3.34054323192001	0.183303070348102	-18.2241531774463	3.31975031083567e-74	7.020671952542e-72	chrX	+	70290103	70420886	130783	protein_coding
ENSG00000072110	ACTN1	34907.6510897363	37462.9333953016	16053.9202384258	16203.1773815936	15.2302201846765	15.3232627940622	14.2512657691026	14.2623600160693	26156.9205262643	-1.16584061726091	0.0639877166283521	-18.2197565203373	3.5975214110922e-74	7.51753492010732e-72	chr14	-	68874142	68979440	105298	protein_coding
ENSG00000171241	SHCBP1	1410.34469677326	2169.56408326727	169.531756420475	136.454289353001	12.0559060867896	12.3303431994771	11.2597887789172	11.2148189199334	971.473706453501	-3.54653338606474	0.195006376012146	-18.1867560363454	6.57164043964389e-74	1.35708240749493e-71	chr16	-	46578590	46621379	42789	protein_coding
ENSG00000137812	KNL1	1665.2002468793	2420.34186259976	246.005320457972	196.986643276512	12.1561421777013	12.4077642203101	11.348933052793	11.2937972905439	1132.13351830339	-3.20355186779386	0.176795969648882	-18.1200503278222	2.21392422209172e-73	4.51872231050884e-71	chr15	+	40594019	40664342	70323	protein_coding
ENSG00000099290	WASHC2A	3762.35905326036	3802.02173493738	9326.08933960894	9139.35947034986	12.7531919160237	12.762058653289	13.6306312558722	13.6087792593097	6507.45739953914	1.28752226254918	0.0711118551516707	18.1055923770107	2.87897494830651e-73	5.80858014570393e-71	chr10	+	50067906	50133506	65600	protein_coding
ENSG00000157456	CCNB2	1323.95298487291	1757.36612413456	175.059965868969	188.778866473324	12.0195446980998	12.1901396502451	11.2668515163679	11.2839000865812	861.28948533744	-3.08380587750775	0.170720482738437	-18.0634791329198	6.18018026494918e-73	1.23273527489378e-70	chr15	+	59105145	59125045	19900	protein_coding
