Gene.id	genename	Control_rep1	Control_rep2	si88_si91_rep1	si88_si91_rep2	Control_rep1.1	Control_rep2.1	si88_si91_rep1.1	si88_si91_rep2.1	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chromosome	strand	start	end	length	type
ENSG00000162496	DHRS3	9851.77522508743	10160.4885400808	2838.07505343993	2859.45223667109	13.4392217609785	13.4789015255154	11.9756482113664	11.9834860052251	6427.44776381981	-1.81255374889227	0.0759755371629738	-23.8570705331664	8.55223965102879e-126	9.23742496895239e-123	chr1	-	12567909	12618210	50301	protein_coding
ENSG00000137804	NUSAP1	1998.92684154312	2728.35194973415	141.720887011337	161.742759197177	11.6256128236276	11.9346972572026	10.0061056958817	10.0509455345878	1257.68560937145	-3.96354295509584	0.167893505475207	-23.6074822779916	3.22913816880403e-123	3.29407972530998e-120	chr15	+	41320793	41381021	60228	protein_coding
ENSG00000183856	IQGAP3	3273.66853268661	4829.2711837551	337.387143917311	302.51886442435	12.1271509019181	12.5635252685687	10.3574161647297	10.3052286204432	2185.71143119584	-3.66211440125895	0.155791867626365	-23.5064542010741	3.50369716893708e-122	3.38604670610645e-119	chr1	-	156525404	156572565	47161	protein_coding
ENSG00000158445	KCNB1	90.1110505808332	61.762907953019	1526.92826650924	1522.57844305985	9.87220087089855	9.78083170484515	11.3788989848088	11.3763924862511	800.345167025735	4.33676537493793	0.186177169708228	23.2937549847513	5.1288901833937e-120	4.70883407737376e-117	chr20	-	49363876	49482668	118792	protein_coding
ENSG00000164161	HHIP	3317.62514272604	3943.02247281019	521.167132880399	593.056783722984	12.1415544727211	12.3317838430919	10.5919664885433	10.670386321553	2093.7178830349	-2.70529545700027	0.12057410649384	-22.4367862691852	1.72251663953228e-111	1.50613573976627e-108	chr4	+	144646155	144745271	99116	protein_coding
ENSG00000156466	GDF6	22602.4888822753	24171.8453728514	7938.19832924145	7804.58733731072	14.5434036842331	14.6352981558804	13.1651989584303	13.1439528156744	15629.2799804197	-1.5710513695911	0.0706656619429172	-22.2321750960202	1.67803826314952e-109	1.40055175399779e-106	chr8	-	96142332	96160806	18474	protein_coding
ENSG00000189056	RELN	6040.73713466878	6514.51624361605	18973.2266217564	19623.7897038304	12.8290200562624	12.9206824323996	14.3053314940971	14.3510052501573	12788.0674259679	1.61998205680803	0.0732238630834906	22.123690127642	1.86989920249648e-108	1.4928299633148e-105	chr7	-	103471788	103989658	517870	protein_coding
ENSG00000145386	CCNA2	1870.35375717778	2813.64358452642	148.121185134429	144.769753602412	11.5628798503603	11.9666353373064	10.020783271132	10.0131401465428	1244.22207011026	-3.99962719218488	0.18168449479757	-22.0141360804685	2.10851138067908e-107	1.61318691550122e-104	chr4	-	121816443	121823883	7440	protein_coding
ENSG00000068489	PRR11	3601.14527748037	5043.97081616321	512.938178150709	521.171112968683	12.231027139435	12.6143580985105	10.5825943898455	10.591971000565	2419.80634619074	-3.06397433533324	0.139551841154898	-21.9558144842555	7.62035512281349e-107	5.59699843060405e-104	chr17	+	59155745	59206709	50964	protein_coding
ENSG00000092621	PHGDH	4572.58635935179	5307.68862948642	1049.64889218719	976.447027745923	12.5002440252646	12.6743923105005	11.0689173291047	11.0136005722383	2976.59272719283	-2.28572685788187	0.104212578535154	-21.9333106426384	1.24994070051595e-106	8.82746582418224e-104	chr1	+	119648410	119744190	95780	protein_coding
ENSG00000138778	CENPE	1915.4092824682	2572.47413442415	163.664766290511	198.684006668138	11.5852037713649	11.874323870118	10.0550916490238	10.1265282078238	1212.55804746275	-3.63317872536048	0.165714886300181	-21.9242749186649	1.52447331232638e-106	1.036754776331e-103	chr4	-	103105348	103198445	93097	protein_coding
ENSG00000076382	SPAG5	1995.63009579016	2935.20867319585	161.836109683913	185.704649448611	11.6240408829425	12.010906433206	10.0511475092402	10.1009002472859	1319.59488202963	-3.82850491458419	0.175355193273926	-21.8328573172258	1.13123625109282e-105	7.41848572948798e-103	chr17	-	28577573	28599025	21452	protein_coding
ENSG00000167900	TK1	3128.61171955649	4026.35338036585	480.936687535245	517.177464593444	12.0785256383136	12.3552789328404	10.5452907785041	10.5874334507972	2038.26981301276	-2.84256460855011	0.130562346037397	-21.7717029053378	4.30341957762386e-105	2.7248065615286e-102	chr17	-	78174120	78187233	13113	protein_coding
ENSG00000030582	GRN	12010.0447780235	11010.4637971485	36081.223504783	33641.4955009191	13.6960674458376	13.582796294303	15.18933070063	15.0918773923118	23185.8068952185	1.59885292377004	0.0742163358897077	21.5431401268056	6.14002817467332e-103	3.75810657811172e-100	chr17	+	44345301	44353106	7805	protein_coding
ENSG00000134057	CCNB1	1758.26440157723	2460.71268193774	160.007453077316	167.733231760036	11.5056398794611	11.8293260097258	10.0471797026308	10.0637837725497	1136.67944208808	-3.68737628044347	0.17135916720001	-21.5184068684203	1.04698463721567e-102	6.20152642211421e-100	chr5	+	69167149	69178245	11096	protein_coding
ENSG00000148677	ANKRD1	17560.6657107526	18694.5538373987	5878.21666190892	6235.08352584181	14.200870933743	14.2853147265591	12.7961635592447	12.8673380912867	12092.1299339755	-1.58176361470387	0.0740651848296985	-21.3563716655928	3.40235183565202e-101	1.95231201269507e-98	chr10	-	90912095	90921087	8992	protein_coding
ENSG00000161888	SPC24	1682.43924925922	2269.54177636887	114.291037912368	158.747522915748	11.4654474259344	11.7487067124292	9.93887051366791	10.0444319357118	1056.25489661405	-3.85969261814385	0.182072422649942	-21.198666783078	9.82401540481545e-100	5.46632032918852e-97	chr19	-	11145493	11155808	10315	protein_coding
ENSG00000162407	PLPP3	749.460201172296	863.700347723963	3809.09171154341	3772.00089041319	10.823283713435	10.9229879364482	12.2931746044866	12.2822906237049	2298.56328771321	2.23125105591967	0.105379399649261	21.1735032022013	1.67622646690924e-99	9.05260893687869e-97	chr1	-	56494760	56579563	84803	protein_coding
ENSG00000109805	NCAPG	1515.40413110938	2221.50395907208	99.6617850595851	119.809451257168	11.3722476910817	11.7276664619773	9.89952730621751	9.95302449868817	989.094831624553	-4.09266846860818	0.193415672915792	-21.1599629280819	2.23398135828484e-99	1.17201044859504e-96	chr4	+	17810978	17844865	33887	protein_coding
ENSG00000169679	BUB1	1627.49348670993	2431.30177338868	137.149245494842	122.804687538598	11.4355258072774	11.8172319655381	9.99540701516226	9.96056455314547	1079.68729828301	-3.96407793937539	0.188031982565397	-21.0819344948229	1.16522335036654e-98	5.94328643317513e-96	chr2	-	110637527	110678063	40536	protein_coding
ENSG00000137812	KNL1	1694.52731702006	2469.53595450246	150.864170044326	155.752286634319	11.4719386196016	11.8329332587711	10.0269712295534	10.0378530041308	1117.66993205029	-3.76443976790746	0.179020939756829	-21.0279298780402	3.64198851133514e-98	1.80741062284151e-95	chr15	+	40594019	40664342	70323	protein_coding
ENSG00000156970	BUB1B	1806.61667262061	2682.27485967397	154.521483257522	175.720528510514	11.5306385994342	11.9171276886603	10.0351302170105	10.0805286869844	1204.78338601565	-3.76663664712338	0.179865823286198	-20.9413693958413	2.24901546289427e-97	1.08674794551749e-94	chr15	+	40161068	40221123	60055	protein_coding
ENSG00000171241	SHCBP1	1435.18331778742	2213.66105012566	96.9188001496883	97.8443851933543	11.3249623280404	11.7241997820763	9.89182340619306	9.89443547343702	960.901888314031	-4.22843335869253	0.202228087199339	-20.9092288675238	4.41307509180818e-97	2.07776627784056e-94	chr16	-	46578590	46621379	42789	protein_coding
ENSG00000137573	SULF1	2126.40101065747	1747.00796781396	7865.96639328083	8012.25705282314	11.685011884891	11.4997509511588	13.1537522630212	13.1768406823472	4937.90810614385	2.03626106044485	0.0976752500899334	20.8472571973964	1.61413792523696e-96	7.40970014580026e-94	chr8	+	69466623	69660915	194292	protein_coding
ENSG00000024526	DEPDC1	1174.74040330379	1651.91269683868	69.4889510507199	71.8856707543011	11.1579436770851	11.4489090218288	9.80756182550827	9.81554063924202	742.006930486873	-4.32274457331372	0.207945004801008	-20.7879221597573	5.5669688957271e-96	2.49318738691076e-93	chr1	-	68474151	68497221	23070	protein_coding
ENSG00000173805	HAP1	21.9783050197154	23.5287268392453	1099.93694886863	1049.33111059403	9.60231075932709	9.61149235409793	11.1054942291194	11.0686826297503	548.693772830407	5.55947887800861	0.2682380214992	20.7259166576622	2.02239479922642e-95	8.8417174531894e-93	chr17	-	41720812	41734644	13832	protein_coding
ENSG00000149485	FADS1	11818.833524352	11651.6216035179	4122.70631957495	4198.32285446995	13.675079826659	13.6564715250624	12.3819627872002	12.4025536669326	7947.8710754787	-1.49604166501581	0.0726469454198118	-20.5933182237807	3.15036624120285e-94	1.34527964932481e-91	chr11	-	61802006	61806528	4522	protein_coding
ENSG00000136068	FLNB	24254.1585045069	26603.14714624	9016.1913988309	8607.31066073374	14.6399599984076	14.7670115600465	13.3259591100194	13.2670902483898	17120.2019275779	-1.52895420852017	0.074426173546725	-20.543232785712	8.84731043436307e-94	3.69214350444943e-91	chr3	+	58008399	58172251	163852	protein_coding
ENSG00000075218	GTSE1	1485.73341933276	2229.34686801849	123.434320945358	97.8443851933543	11.3549621092424	11.7311242063766	9.96213729450398	9.89443547343702	984.089748372492	-4.06731771168779	0.198198370947123	-20.5214487498129	1.38522371003074e-93	5.65232839190764e-91	chr22	+	46296869	46330810	33941	protein_coding
ENSG00000118193	KIF14	1369.24840272827	1952.88432765736	112.46238130577	120.807863350978	11.2847355672081	11.6034884152342	9.93410193764052	9.95554867887869	888.850743760595	-3.83359531624041	0.189254504407236	-20.2562962939646	3.12612493868757e-91	1.24786752443872e-88	chr1	-	200551499	200620751	69252	protein_coding
ENSG00000105755	ETHE1	1873.65050293074	2054.84214396076	6623.39422909756	6552.57857167331	11.5645261914815	11.6519945626157	12.9409376793149	12.9277962277033	4276.11636191559	1.74534504200577	0.0863856522219938	20.2041079405245	9.00826426584209e-91	3.51935634998707e-88	chr19	-	43506718	43527201	20483	protein_coding
ENSG00000186193	SAPCD2	1519.79979211332	2261.69886742246	121.60566433876	142.772929414792	11.3747887746517	11.7452940019966	9.95755785359693	10.0085419222853	1011.46931332233	-3.84068519889835	0.190304369430673	-20.1818025008485	1.41491480610927e-90	5.41263868120382e-88	chr9	-	137062126	137070557	8431	protein_coding
ENSG00000169710	FASN	66149.2035330885	61957.0199494427	25513.4169752538	24892.4103228644	16.0412351460587	15.9486314871871	14.709460039841	14.6756047203437	44628.0126951623	-1.34564395871952	0.0669111678410537	-20.1109022923658	5.92364539931803e-90	2.21979544535261e-87	chr17	-	82078337	82098236	19899	protein_coding
ENSG00000142945	KIF2C	1425.29308052854	2280.32577617019	99.6617850595851	110.823742412881	11.3190091423336	11.7533850884357	9.89952730621751	9.92979444318983	979.026096042801	-4.13982360866213	0.205922454349954	-20.1037988874527	6.83553155671999e-90	2.51028060888985e-87	chr1	+	44739836	44767767	27931	protein_coding
ENSG00000106366	SERPINE1	33510.3216635601	36898.9258656465	12541.8413363516	13055.2365386561	15.0864463819536	15.2205729302254	13.7528750711679	13.80566463462	24001.5813510536	-1.45986832099045	0.0731317078002515	-19.9621800844288	1.17473965408708e-88	4.22952343693076e-86	chr7	+	101127103	101139247	12144	protein_coding
ENSG00000090889	KIF4A	1446.17247029727	2109.74250658566	114.291037912368	138.779281039553	11.3315444236997	11.6773983129331	9.93887051366791	9.99924286743529	952.246323958715	-3.81545422396162	0.191234984138439	-19.9516539358694	1.45011208429052e-88	5.12056886379664e-86	chrX	+	70290103	70420886	130783	protein_coding
ENSG00000137807	KIF23	2293.4361288073	3074.42030699472	323.672219367827	365.418826334364	11.7590508648608	12.0599111845716	10.3372636570422	10.3972276213032	1514.23687037605	-2.96297723422067	0.148521545103437	-19.9498142317139	1.50446304842155e-88	5.21225481039934e-86	chr15	+	69414245	69448427	34182	protein_coding
ENSG00000186185	KIF18B	1272.54386064152	1921.5126918717	98.7474567562861	95.8475610057348	11.2233099784341	11.5881990180185	9.89697169289294	9.88878410648198	847.162892568811	-4.03717507655989	0.203261749409666	-19.8619518344454	8.68681669851945e-88	2.95383941144841e-85	chr17	-	44924710	44947773	23063	protein_coding
ENSG00000120802	TMPO	3824.22507343048	5203.77008594642	759.806820041424	701.883701948245	12.2975910892388	12.6510391530646	10.8326846475902	10.7790024402544	2622.42142034164	-2.62676788064583	0.132342462036291	-19.8482621543305	1.1407860581895e-87	3.80856610917737e-85	chr12	+	98515589	98550351	34762	protein_coding
ENSG00000114450	GNB4	1750.57199482033	2068.56723461698	277.95580420288	277.558562079107	11.5016183855017	11.6583910556646	10.266436226209	10.265793682357	1093.66339892983	-2.78179579670068	0.141156835056816	-19.707127859455	1.87300394463099e-86	6.14144614844896e-84	chr3	-	179396087	179451470	55383	protein_coding
ENSG00000101447	FAM83D	1024.18901391874	1470.54542745283	58.5170114111325	63.8983740038232	11.0499669137139	11.3460225460036	9.76909265646209	9.78838335429805	654.287456696632	-4.35120484632411	0.220990931210076	-19.689517676125	2.65202645877897e-86	8.54324733966658e-84	chr20	+	38926416	38953106	26690	protein_coding
ENSG00000160145	KALRN	968.144336118464	846.05380259453	3696.62933023764	3782.98342344509	11.0071610552751	10.9081445502849	12.259908314238	12.2855222107507	2323.45272309893	2.0447130378707	0.104253695780923	19.612859021971	1.20087881368662e-85	3.80181668567478e-83	chr3	+	124094680	124519850	425170	protein_coding
ENSG00000168078	PBK	948.36386160072	1291.13888530359	55.7740265012357	44.9285442214382	10.9916766533026	11.2353576777962	9.7589102711709	9.71590431947635	585.051329406745	-4.47194273469308	0.228514159087667	-19.5696527188823	2.80586933841783e-85	8.73243606644546e-83	chr8	-	27809623	27837817	28194	protein_coding
ENSG00000197535	MYO5A	6685.80038699743	6804.70387463341	2087.41151643149	2257.40974410382	12.9524188267111	12.9740410547633	11.6671235675162	11.7434239897477	4458.83138054154	-1.63491660858923	0.084326565437802	-19.3879188616442	9.76070426185501e-84	2.98710086093636e-81	chr15	-	52307282	52529050	221768	protein_coding
ENSG00000120885	CLU	1329.68745369278	1203.88652327472	4813.02418856565	4494.85124633144	11.2599694286428	11.1777873151833	12.5596030032198	12.4805048153047	2960.36235296615	1.87807836520175	0.0970024073499142	19.3611521250911	1.64172386629753e-83	4.9418579726156e-81	chr8	-	27596916	27614700	17784	protein_coding
ENSG00000092853	CLSPN	1302.21457241814	2007.78469028227	107.890739789276	114.81739078812	11.242478753969	11.6298271857373	9.92200086131941	9.9402356999333	883.17684831945	-3.89503026670796	0.201813251655755	-19.3001709984433	5.35317755716702e-83	1.58540397265647e-80	chr1	-	35720217	35769967	49750	protein_coding
ENSG00000172380	GNG12	15192.5033448783	15780.9131638055	5102.86626071142	5713.91241287313	14.0067010887374	14.0574473760216	12.6279882783088	12.7621545974074	10447.5487955671	-1.51800152553689	0.0791975500242817	-19.1672788498063	6.94476929126541e-82	2.02412466232088e-79	chr1	-	67701474	67833467	131993	protein_coding
ENSG00000140525	FANCI	2089.03789212395	3179.31921415302	254.183268317107	285.545858829585	11.6678745604945	12.0957188215863	10.2270574630249	10.2786177161414	1452.02155835592	-3.28840922812671	0.171700376677691	-19.1520210482682	9.3102408663424e-82	2.67116629355905e-79	chr15	+	89243948	89317261	73313	protein_coding
ENSG00000120437	ACAT2	4641.8180201639	4593.98391536265	1426.35215314636	1356.84203548743	12.5175938327489	12.5056292318012	11.3196479614017	11.2770211984063	3004.74903104008	-1.73020765533791	0.0903616260059848	-19.1475931965115	1.01364460382687e-81	2.86346803314907e-79	chr6	+	159762044	159779112	17068	protein_coding
ENSG00000128050	PAICS	5312.15632326522	6681.17805872737	1378.80708137481	1413.75152483459	12.6753877224999	12.9515716038437	11.2906471989218	11.3120264872735	3696.4732470505	-2.1029552974984	0.110045302008086	-19.1099052765005	2.08847623403136e-81	5.81039403170968e-79	chr4	+	56436259	56464578	28319	protein_coding
ENSG00000101057	MYBL2	2165.96195969295	3307.74684815057	300.814011785353	297.526803955302	11.7029207610155	12.1383306128994	10.3025935106486	10.2974892567489	1518.01240589605	-3.1939385940071	0.168334992492633	-18.9737056253879	2.81356022616993e-80	7.71083475715408e-78	chr20	+	43667018	43716495	49477	protein_coding
ENSG00000179750	APOBEC3B	1126.38813226041	1531.32797178755	108.805068092575	106.830094037642	11.1242994372669	11.38142925167	9.92444211325599	9.9191554247178	718.337816544545	-3.62400253022221	0.191968616753717	-18.8780988867131	1.72690914310055e-79	4.66316260082534e-77	chr22	+	38982346	38992779	10433	protein_coding
ENSG00000157456	CCNB2	1347.27009770856	1793.08505787415	153.607154954223	169.730055947655	11.2710368362944	11.5236905503784	10.0331001131753	10.0680090092823	865.923091621147	-3.28155030338261	0.174219241980073	-18.8357512412891	3.84630459763444e-79	1.02356297132991e-76	chr15	+	59105145	59125045	19900	protein_coding
ENSG00000102144	PGK1	13690.2861967807	13942.7313794895	5549.9728010246	5471.29827407736	13.8683890421197	13.8925822255475	12.7273881148714	12.7103958400398	9663.57216284304	-1.32609440866652	0.070568224523902	-18.7916646282827	8.83636657289156e-79	2.31790518587764e-76	chrX	+	78065215	78122903	57688	protein_coding
ENSG00000072840	EVC	7931.97028161529	7374.2951368668	19846.4101514069	19315.2803668432	13.1642155967361	13.0732985021039	14.3663077662305	14.3295264058387	13616.988984183	1.35549780886065	0.0721618010698785	18.7841460268993	1.01810941844488e-78	2.63303171006828e-76	chr4	+	5711200	5814305	103105	protein_coding
ENSG00000100297	MCM5	2614.31938209515	3859.69156525453	425.16266103401	437.304497088665	11.8907955404135	12.3078871290523	10.4766833864026	10.4920396355825	1834.11952636809	-2.90875496990277	0.155136689594889	-18.7496263939784	1.94955766848162e-78	4.97191359842493e-76	chr22	+	35400139	35425431	25292	protein_coding
ENSG00000044574	HSPA5	30060.8266907158	31250.070696991	12958.775042656	13044.2540056242	14.9357479754111	14.9895006143785	13.7958928972284	13.8045554293032	21828.4816089967	-1.23749699231797	0.0661588757116764	-18.7049277818903	4.5134381510959e-78	1.13528426480031e-75	chr9	-	125234859	125241382	6523	protein_coding
ENSG00000198730	CTR9	2013.21273980593	2224.44504992698	6455.15782129056	6665.39913827381	11.6324031308252	11.7289641606133	12.9095169468195	12.9486756938155	4339.55368732432	1.62992297139126	0.0872885764693189	18.6728096312141	8.24016173996891e-78	2.04467364688256e-75	chr11	+	10751245	10779746	28501	protein_coding
ENSG00000087586	AURKA	1549.47050388994	2278.36504893359	183.779988963088	199.682418761947	11.3918106175629	11.7525356844049	10.0970194431988	10.1284619759196	1052.82449013714	-3.32076323601442	0.17893479900089	-18.5585098849213	6.96087460947637e-77	1.70420772772273e-74	chr20	-	56369389	56392337	22948	protein_coding
ENSG00000134690	CDCA8	1134.08053901732	1823.47633004151	79.5465623870083	96.8459730995445	11.1297142257562	11.5392442949586	9.84016654982382	9.89161733565152	783.487351136345	-4.07066276512751	0.220314679295305	-18.4765843935041	3.1873121143094e-76	7.70071382144069e-74	chr1	+	37692480	37709713	17233	protein_coding
ENSG00000274641	H2BC17	1375.84189423419	2255.81668571264	132.577603978347	135.784044758124	11.2888163194925	11.7427287698262	9.98451935229712	9.99217591660489	975.005057170825	-3.75929450731241	0.203749049939441	-18.4506112221371	5.15586418283148e-76	1.22950620941755e-73	chr6	+	27893424	27893891	467	protein_coding
ENSG00000131389	SLC6A6	7059.43157233259	6839.99696489227	18884.5367763364	17293.4958768785	13.0192864030549	12.9803963127087	14.2989911376583	14.1802315677275	12519.3652976099	1.38021500515855	0.0748779119174268	18.4328725229492	7.1579495006634e-76	1.68505472732284e-73	chr3	+	14402575	14489349	86774	protein_coding
ENSG00000121892	PDS5A	5693.47991535728	5795.90971140076	1891.74525952552	1998.82101180709	12.7578677331627	12.7792289528539	11.5735259615634	11.6255623912556	3844.98897452266	-1.56252533293458	0.0852226144639606	-18.3346326883147	4.37964629572595e-75	1.0179628516724e-72	chr4	-	39822862	39977911	155049	protein_coding
ENSG00000176531	PHLDB3	327.47674479376	337.24508469585	1750.93870081748	1763.195757668	10.3429008383039	10.357209787524	11.5018103761001	11.5082114353619	1044.71407199377	2.40193557496991	0.131425294870368	18.2760523941687	1.28389262943129e-74	2.94685455770218e-72	chr19	-	43475102	43504935	29833	protein_coding
ENSG00000278677	H2AC17	1373.64406373221	2138.17305151642	151.778498347625	151.75863825908	11.2874575347956	11.6903661012933	10.0290206765127	10.0289762298788	953.838562963834	-3.53296684710852	0.194007897427929	-18.2104279977622	4.26598925250354e-74	9.67062896968766e-72	chr6	-	27892698	27893185	487	protein_coding
ENSG00000182481	KPNA2	7225.36777523144	9942.84781681775	1867.97272363975	1923.94010477136	13.0480061106585	13.4510422418672	11.5616895194216	11.5893883848047	5240.03210511508	-2.17904082336559	0.120437721426965	-18.092677257158	3.63968118216799e-73	8.15022266670348e-71	chr17	+	68035734	68046854	11120	protein_coding
ENSG00000135476	ESPL1	1145.06969152717	1728.38105906623	114.291037912368	80.8713795985887	11.137408222261	11.4899473442577	9.93887051366791	9.84429937864848	767.15329202609	-3.87676181113691	0.21530172116948	-18.0061812329184	1.74242543870806e-72	3.85474890428403e-70	chr12	+	53268298	53293638	25340	protein_coding
ENSG00000105011	ASF1B	963.748675114521	1550.93524415359	71.3176076573178	71.8856707543011	11.0037375729036	11.3926451087402	9.81366202689319	9.81554063924202	664.471799419932	-4.13517349005671	0.230111730282862	-17.97028549989	3.32996655444407e-72	7.27914831817881e-70	chr19	-	14119511	14136589	17078	protein_coding
ENSG00000111110	PPM1H	1390.127792497	1267.61015846434	4531.41107114958	4265.2164647552	11.2976129552987	11.2200937987993	12.4898229303315	12.4205205208354	2863.59137171653	1.72747689151454	0.0963880175530213	17.9221124717529	7.92603489058764e-72	1.71221003130553e-69	chr12	-	62643993	62935150	291157	protein_coding
ENSG00000164611	PTTG1	1278.03843689645	1742.10614972246	160.007453077316	173.723704322894	11.2268820371689	11.4971781869338	10.0471797026308	10.0763810226247	838.468936004779	-3.17939049274222	0.177753205608129	-17.8865437721074	1.50136675949116e-71	3.20559260904379e-69	chr5	+	160421854	160428739	6885	protein_coding
ENSG00000148926	ADM	2360.46995911744	2614.62977001114	7668.47147976826	7115.682992582	11.7876534605355	11.8909169774431	13.1219783431885	13.0290871814108	4939.81355036971	1.57088735571257	0.0881717713999782	17.8162163555325	5.28954681553836e-71	1.11639837502202e-68	chr11	+	10305072	10307397	2325	protein_coding
ENSG00000137310	TCF19	985.726980134236	1512.70106303981	77.7179057804104	89.8570884428764	11.0207568971734	11.3706825698473	9.83440330686059	9.87145426596988	666.500759349334	-3.90078763376499	0.219869302507284	-17.7413926786608	2.00893630886697e-70	4.19182823902448e-68	chr6	+	31161448	31167159	5711	protein_coding
